feature_register_id,atlas_screen_id,source_occurrences,module,legacy_name,legacy_features,legacy_status_claim,reconciliation_state,evidence_state
FR-ATLAS-001,001,1,"Module 1: Dashboard & Navigation (001, 053, 075, 087)",Main Dashboard     ,"Quick actions, KPIs, navigation grid",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-002,002,1,"Module 2: Sales & Invoicing (002-006, 015)",Invoice Settings,"Customer, payment type, tax toggle",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-003,003,1,"Module 2: Sales & Invoicing (002-006, 015)",Sales Invoice   ,"Line items, barcode, totals       ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-004,004,1,"Module 2: Sales & Invoicing (002-006, 015)",Item Picker     ,"Category grid, item cards         ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-005,005,1,"Module 2: Sales & Invoicing (002-006, 015)",Invoice List    ,"Filter, sort, export              ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-006,006,1,"Module 2: Sales & Invoicing (002-006, 015)",Invoice Editing ,"Modify line items, recalculate    ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-007,007,1,"Module 3: Reporting & Analytics (007, 016-019, 026, 054-057, 065)",Report Field Selection ,Custom column picker       ,✅ Complete          ,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-008,008,1,"Module 6: Currency & Pricing (008, 021, 035, 045-046, 071)",Currency Selection ,Pick transaction currency,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-009,009,1,"Module 4: Inventory Management (009, 020, 023-024, 047-050, 074, 085, 091, 098)",Item Index           ,"Master list, search   ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-010,010,1,"Module 10: System States & Dialogs (010-014, 056, 072-073)",Returns & Damages   ,RMA module          ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-011,011,1,"Module 10: System States & Dialogs (010-014, 056, 072-073)",Invoice Search      ,Find invoices       ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-012,012,1,"Module 10: System States & Dialogs (010-014, 056, 072-073)",Processing State    ,Loading indicator   ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-013,013,1,"Module 10: System States & Dialogs (010-014, 056, 072-073)",Selection Error     ,Validation message  ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-014,014,1,"Module 10: System States & Dialogs (010-014, 056, 072-073)",Sort Options        ,List ordering       ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-015,015,1,"Module 2: Sales & Invoicing (002-006, 015)",Quotes/Drafts   ,"Draft workflow, conversion        ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-016,016,1,"Module 3: Reporting & Analytics (007, 016-019, 026, 054-057, 065)",Daily Sales Summary    ,"Totals, breakdown          ",✅ Complete          ,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-017,017,1,"Module 3: Reporting & Analytics (007, 016-019, 026, 054-057, 065)",Category Reports       ,Drill-down by category     ,✅ Complete          ,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-018,018,1,"Module 3: Reporting & Analytics (007, 016-019, 026, 054-057, 065)",Customer Reports       ,"A/R aging, history         ",✅ Complete          ,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-019,019,1,"Module 3: Reporting & Analytics (007, 016-019, 026, 054-057, 065)",Account Movement Filter,"Date range, account filter ",✅ Complete          ,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-020,020,1,"Module 4: Inventory Management (009, 020, 023-024, 047-050, 074, 085, 091, 098)",Item Search Options  ,Advanced filters      ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-021,021,1,"Module 6: Currency & Pricing (008, 021, 035, 045-046, 071)",Pricing Method     ,"Margin, markup rules     ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-022,022,0,,,,,MISSING_IN_ATLAS,UNVERIFIED
FR-ATLAS-023,023,1,"Module 4: Inventory Management (009, 020, 023-024, 047-050, 074, 085, 091, 098)",Inventory Adjustments,Stock corrections     ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-024,024,1,"Module 4: Inventory Management (009, 020, 023-024, 047-050, 074, 085, 091, 098)",Barcode Engine       ,Label generation      ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-025,025,0,,,,,MISSING_IN_ATLAS,UNVERIFIED
FR-ATLAS-026,026,1,"Module 3: Reporting & Analytics (007, 016-019, 026, 054-057, 065)",Reports Dashboard      ,Report hub                 ,✅ Complete          ,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-027,027,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Backup Settings        ,Local backup config  ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-028,028,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",System Info            ,"Version, device info ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-029,029,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Manager PIN            ,Security PIN setup   ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-030,030,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",User Selection         ,Switch user          ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-031,031,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Calculator             ,Built-in calc        ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-032,032,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Database Selection     ,Choose DB file       ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-033,033,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Cloud Backup           ,Google Drive sync    ,⚠️ Planned ,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-034,034,2,"Module 7: Administration & Settings (027-043, 088-095, 099) || Module 9: Compliance & Tax (034, 097)",Tax Settings            || Tax & E-Invoice Settings,"VAT, E-Invoice config || VAT toggle, ZATCA config",✅ Complete || ✅ Complete,DUPLICATE_LEGACY_REFERENCE,UNVERIFIED
FR-ATLAS-035,035,1,"Module 6: Currency & Pricing (008, 021, 035, 045-046, 071)",Pricing Strategy   ,Complex pricing          ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-036,036,0,,,,,MISSING_IN_ATLAS,UNVERIFIED
FR-ATLAS-037,037,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Company Data           ,Branding setup       ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-038,038,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Language Selection     ,AR/EN switch         ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-039,039,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Invoice Labels         ,Customize terminology,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-040,040,1,"Module 7: Administration & Settings (027-043, 088-095, 099)",Document Type Edit     ,Template selection   ,✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
FR-ATLAS-041,041,2,"Module 7: Administration & Settings (027-043, 088-095, 099) || Module 8: Printing & Output (041-044, 096)",Print Templates         || Print Template Select,Template picker       || Choose template    ,✅ Complete || ✅ Complete,DUPLICATE_LEGACY_REFERENCE,UNVERIFIED
FR-ATLAS-042,042,2,"Module 7: Administration & Settings (027-043, 088-095, 099) || Module 8: Printing & Output (041-044, 096)",Template Preview        || Template Preview     ,WYSIWYG preview       || Preview output     ,✅ Complete || ✅ Complete,DUPLICATE_LEGACY_REFERENCE,UNVERIFIED
FR-ATLAS-043,043,2,"Module 7: Administration & Settings (027-043, 088-095, 099) || Module 8: Printing & Output (041-044, 096)",Paper Size              || Paper Size           ,Printer settings      || Page dimensions    ,✅ Complete || ✅ Complete,DUPLICATE_LEGACY_REFERENCE,UNVERIFIED
FR-ATLAS-044,044,1,"Module 8: Printing & Output (041-044, 096)",Print Options        ,"Layout, copies     ",✅ Complete,EXTRACTED_FROM_ATLAS,UNVERIFIED
