ID,Path,Title,Type,Location,Size bytes,Status candidate,Last modification,Last commit,Related module,Related specification (heuristic),Related code / tests,Authority candidate
DOC-0001,.githooks/README.md,Git Hooks للمشروع,GUIDE,.githooks,2220,UNDECLARED,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0002,.github/BRANCHING_STRATEGY.md,استراتيجية الفروع - مشروع بصير,UNKNOWN,.github,2142,UNDECLARED,2026-01-08T14:03:26+03:00,4e9f13e03c26b3bca345cec517de4cfd312dc513,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,UNASSIGNED
DOC-0003,.github/CI_CD_INTEGRATION.md,CI/CD Integration for Documentation System,UNKNOWN,.github,9157,UNDECLARED,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Delivery / operations; Integration,.kiro/specs/active/basir_master_specification/07_INTEGRATION_PROTOCOLS.md,See traceability matrix; not inferred from pathname alone,UNASSIGNED
DOC-0004,.github/CONTRIBUTING.md,دليل المساهمة,GUIDE,.github,10409,UNDECLARED,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0005,.github/DEPENDABOT_GUIDE.md,دليل Dependabot,GUIDE,.github,6000,UNDECLARED,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Flutter UI / UX,.kiro/specs/active/basir_master_specification/04_UI_DESIGN_SYSTEM.md,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0006,.github/ERROR_TRACKING_README.md,🔍 نظام تتبع الأخطاء المتكامل,GUIDE,.github,3989,UNDECLARED,2025-12-29T21:52:19+03:00,e19f81ab07bea087097bea1bd68850501be70504,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0007,.github/GITHUB_SETUP_GUIDE.md,المراج 📚,GUIDE,.github,12975,UNDECLARED,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Flutter UI / UX,.kiro/specs/active/basir_master_specification/04_UI_DESIGN_SYSTEM.md,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0008,.github/GIT_WORKFLOW.md,دليل سير عمل Git,UNKNOWN,.github,1950,UNDECLARED,2026-01-08T14:03:26+03:00,4e9f13e03c26b3bca345cec517de4cfd312dc513,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,UNASSIGNED
DOC-0009,.github/ISSUE_TEMPLATE/bug_report.md,📝 وصف المشكلة,REPORT,.github/ISSUE_TEMPLATE,1803,UNDECLARED,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0010,.github/ISSUE_TEMPLATE/code_quality.md,📊 نوع المشكلة,REFERENCE,.github/ISSUE_TEMPLATE,3279,UNDECLARED,2025-12-29T21:52:19+03:00,e19f81ab07bea087097bea1bd68850501be70504,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0011,.github/ISSUE_TEMPLATE/feature_request.md,🎯 وصف الميزة المقترحة,REFERENCE,.github/ISSUE_TEMPLATE,2430,UNDECLARED,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0012,.github/QUALITY_GATES.md,Quality Gates Documentation,UNKNOWN,.github,2650,UNDECLARED,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,UNASSIGNED
DOC-0013,.github/QUICK_REFERENCE.md,CI/CD Quick Reference Guide,REFERENCE,.github,5810,UNDECLARED,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Flutter UI / UX,.kiro/specs/active/basir_master_specification/04_UI_DESIGN_SYSTEM.md,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0014,.github/SECRETS_SETUP_GUIDE.md,دليل إعداد GitHub Secrets,GUIDE,.github,5675,UNDECLARED,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Flutter UI / UX,.kiro/specs/active/basir_master_specification/04_UI_DESIGN_SYSTEM.md,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0015,.github/pull_request_template.md,Pull Request,REFERENCE,.github,2915,UNDECLARED,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0016,.github/workflows/analysis.yml,name: Analysis,ANALYSIS,.github/workflows,6104,UNDECLARED,2026-08-13T17:35:36+00:00,95c8aae8ed7ee08acbe95521dbd6448d35b62bc9,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0017,.github/workflows/codeql-analysis.yml,name: CodeQL Security Analysis,ANALYSIS,.github/workflows,4436,UNDECLARED,2026-08-13T17:35:36+00:00,95c8aae8ed7ee08acbe95521dbd6448d35b62bc9,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0018,.github/workflows/error-tracking-analysis.yml,name: Error Tracking - Continuous Analysis,ANALYSIS,.github/workflows,6084,UNDECLARED,2026-08-13T17:35:36+00:00,95c8aae8ed7ee08acbe95521dbd6448d35b62bc9,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0019,.kiro/BLUEPRINT_STATUS.md,حالة Kiro Strategic Workspace,PLAN,.kiro,10312,UNDECLARED,2025-12-29T20:12:37+03:00,d36e29782d6b51094555717719038a5e9a82dc70,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0020,.kiro/FINAL_STATUS.md,🎉 الحالة النهائية: Kiro Strategic Workspace,STATUS,.kiro,14636,UNDECLARED,2025-12-29T20:12:37+03:00,d36e29782d6b51094555717719038a5e9a82dc70,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0021,.kiro/README.md,🚀 Kiro Strategic Workspace - بيئة تطوير ذكية قابلة للتشغيل الكامل,GUIDE,.kiro,16738,UNDECLARED,2025-12-29T21:52:19+03:00,e19f81ab07bea087097bea1bd68850501be70504,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0022,.kiro/backlog/POWERS_STRATEGY.md,استراتيجية Powers للامتثال لـ Kiro.dev,TASK,.kiro/backlog,5136,UNDECLARED,2025-12-12T21:51:06+03:00,f6a96b9b43cad0893d35214e05192a0e95f95eda,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0023,.kiro/backlog/README.md,Backlog Directory,TASK,.kiro/backlog,2831,UNDECLARED,2025-12-12T21:51:06+03:00,f6a96b9b43cad0893d35214e05192a0e95f95eda,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0024,.kiro/backlog/technologies/aws-cli-best-practices.md,AWS CLI Best Practices,TASK,.kiro/backlog/technologies,1410,UNDECLARED,2025-12-12T21:51:06+03:00,f6a96b9b43cad0893d35214e05192a0e95f95eda,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0025,.kiro/backlog/technologies/cdk-best-practices.md,CDK Best Practices,TASK,.kiro/backlog/technologies,2245,UNDECLARED,2025-12-12T21:51:06+03:00,f6a96b9b43cad0893d35214e05192a0e95f95eda,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0026,.kiro/backlog/technologies/docker-best-practices.md,Docker Best Practices,TASK,.kiro/backlog/technologies,1154,UNDECLARED,2025-12-12T21:51:06+03:00,f6a96b9b43cad0893d35214e05192a0e95f95eda,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0027,.kiro/docs/README.md,دليل التوثيق - بصير MVP,GUIDE,.kiro/docs,14453,UNDECLARED,2025-12-29T21:52:19+03:00,e19f81ab07bea087097bea1bd68850501be70504,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0028,.kiro/docs/analysis/BEST_REPOSITORIES_AND_TEMPLATES_ANALYSIS.md,تحليل أفضل المستودعات والقوالب للأوامر والتوجيهات الذكية,ANALYSIS,.kiro/docs/analysis,15676,UNDECLARED,2025-12-15T21:49:15+03:00,a4afa9bc7c19dc44186723a2955d14e44f261c31,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0029,.kiro/docs/analysis/COMPREHENSIVE_KIRO_ANALYSIS_AND_ENHANCEMENT_PLAN.md,التحليل الشامل وخطة التطوير المتقدمة لمجلد .kiro/,PLAN,.kiro/docs/analysis,30452,PLANNING_CANDIDATE,2025-12-15T21:49:15+03:00,a4afa9bc7c19dc44186723a2955d14e44f261c31,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0030,.kiro/docs/analysis/COMPREHENSIVE_SPECS_ANALYSIS.md,تحليل شامل لجميع المواصفات,ANALYSIS,.kiro/docs/analysis,7823,UNDECLARED,2025-12-15T21:49:15+03:00,a4afa9bc7c19dc44186723a2955d14e44f261c31,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0031,.kiro/docs/analysis/PROFESSIONAL_KIRO_REFERENCES_ANALYSIS.md,تحليل شامل للمراجع الاحترافية لـ Kiro,ANALYSIS,.kiro/docs/analysis,23253,UNDECLARED,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0032,.kiro/docs/i18n/developer-guide.md,دليل المطور لنظام الترجمة والتدويل (i18n Developer Guide),GUIDE,.kiro/docs/i18n,5946,UNDECLARED,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Flutter UI / UX,.kiro/specs/active/basir_master_specification/04_UI_DESIGN_SYSTEM.md,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0033,.kiro/docs/i18n/user-guide.md,دليل المستخدم (User Guide) - اللغة والإعدادات,GUIDE,.kiro/docs/i18n,1956,UNDECLARED,2025-12-31T20:48:36+03:00,6d2b36b5963fc74833e2a28f54d4838b06e08729,Flutter UI / UX,.kiro/specs/active/basir_master_specification/04_UI_DESIGN_SYSTEM.md,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0034,.kiro/docs/plans/KIRO_STANDARDS_IMPLEMENTATION_PLAN.md,خطة تنفيذ معايير Kiro.dev الرسمية,STANDARD,.kiro/docs/plans,6299,PLANNING_CANDIDATE,2025-12-15T21:49:15+03:00,a4afa9bc7c19dc44186723a2955d14e44f261c31,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0035,.kiro/docs/plans/KIRO_WORKFLOW_TESTING_PLAN.md,خطة اختبار التحسينات - kiro-workflow-prompts Integration,PLAN,.kiro/docs/plans,9245,PLANNING_CANDIDATE,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Testing,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0036,.kiro/docs/plans/SCRIPTS_TESTING_PLAN.md,خطة اختبار السكريبتات المحسّنة,PLAN,.kiro/docs/plans,8849,PLANNING_CANDIDATE,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Testing,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0037,.kiro/docs/plans/git/GIT_MANAGEMENT_PLAN.md,🔬 خطة عمل هندسية جراحية شاملة لإدارة Git,PLAN,.kiro/docs/plans/git,69040,PLANNING_CANDIDATE,2025-12-29T21:52:19+03:00,e19f81ab07bea087097bea1bd68850501be70504,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0038,.kiro/docs/plans/git/GIT_MANAGEMENT_QUICK_START.md,ملخص سريع - خطة إدارة Git,GUIDE,.kiro/docs/plans/git,2281,UNDECLARED,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Flutter UI / UX,.kiro/specs/active/basir_master_specification/04_UI_DESIGN_SYSTEM.md,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0039,.kiro/docs/plans/git/README.md,خطط إدارة Git,GUIDE,.kiro/docs/plans/git,2919,UNDECLARED,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0040,.kiro/docs/plans/git/archive/GIT_MANAGEMENT_PLAN_V2.md,🔬 خطة عمل هندسية جراحية شاملة لإدارة Git - الإصدار 2.0,PLAN,.kiro/docs/plans/git/archive,51567,ARCHIVED_CANDIDATE,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0041,.kiro/docs/plans/testing/README.md,خطط الاختبارات,GUIDE,.kiro/docs/plans/testing,3364,UNDECLARED,2025-12-10T17:25:42+03:00,0ef36f8a804fbc9f45219a20b57df271268259ae,Testing,,See traceability matrix; not inferred from pathname alone,L6 — operational guidance / policy candidate
DOC-0042,.kiro/docs/reorganization/CRITICAL_REORGANIZATION_ANALYSIS.md,تحليل حرج: مشكلة تنظيمية خطيرة في بنية المشروع,ANALYSIS,.kiro/docs/reorganization,15776,UNDECLARED,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0043,.kiro/docs/reorganization/REORGANIZATION_SUCCESS.md,✅ نجاح إعادة التنظيم,STATUS,.kiro/docs/reorganization,1038,UNDECLARED,2025-12-15T21:52:46+03:00,eb64a6d485d5da98f2253ae2f9234ce18cb51ecc,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0044,.kiro/docs/reorganization/documentation_restructure_summary.md,ملخص إعادة هيكلة الوثائق,REPORT,.kiro/docs/reorganization,7177,UNDECLARED,2026-01-02T13:15:47+03:00,560c3372de9ac640f01e3854b211ffb6ef0664fd,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0045,.kiro/docs/reports/AUDIT_COMPLETION_STATUS_20260115.md,Audit Completion Status,STATUS,.kiro/docs/reports,7529,COMPLETED_CLAIM,2026-01-15T14:18:26+03:00,b3045c5d54d3040d09f7a3fd9e5a08374cf68569,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0046,.kiro/docs/reports/BLUEPRINT_STATUS.md,حالة Kiro Strategic Workspace,PLAN,.kiro/docs/reports,10312,HISTORICAL_OR_STATUS,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L5 — planning only
DOC-0047,.kiro/docs/reports/COMPREHENSIVE_REPOSITORY_AUDIT_20260115.md,Comprehensive Repository Audit Report,REPORT,.kiro/docs/reports,21382,HISTORICAL_OR_STATUS,2026-01-15T14:09:48+03:00,ba552bdb140e9d84256e2340d2f0d4662119b88d,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0048,.kiro/docs/reports/COMPREHENSIVE_REVIEW_REPORT.md,تقرير المراجعة الشاملة لمكونات .kiro,REPORT,.kiro/docs/reports,17549,HISTORICAL_OR_STATUS,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0049,.kiro/docs/reports/CONTINUATION_STATUS_20260115.md,تقرير حالة المتابعة - نظام بصير المحاسبي,STATUS,.kiro/docs/reports,9767,HISTORICAL_OR_STATUS,2026-01-15T18:03:45+03:00,fc4d6d999e92b49ef17ac6e49bca05bbb08c028c,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0050,.kiro/docs/reports/DELETION_VERIFICATION_REPORT.md,تقرير التحقق من الحذف - ضمان عدم فقدان المعلومات,REPORT,.kiro/docs/reports,16888,HISTORICAL_OR_STATUS,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0051,.kiro/docs/reports/FINAL_IMPLEMENTATION_REPORT.md,تقرير التنفيذ النهائي - مراجعة بنية .kiro/,STATUS,.kiro/docs/reports,15728,HISTORICAL_OR_STATUS,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0052,.kiro/docs/reports/FINAL_STATUS.md,🎉 الحالة النهائية: Kiro Strategic Workspace,STATUS,.kiro/docs/reports,14636,HISTORICAL_OR_STATUS,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
DOC-0053,.kiro/docs/reports/FINAL_STATUS_SUMMARY.md,الملخص النهائي لحالة Kiro Strategic Workspace,STATUS,.kiro/docs/reports,12682,HISTORICAL_OR_STATUS,2025-12-24T21:10:33+03:00,2f5c6feb4937246a86433e30ce8664e48ce554e5,Cross-cutting / undetermined,,See traceability matrix; not inferred from pathname alone,L7 — historical or evidentiary claim only
